die_id,source,row,col,x_um,y_um,cell_name,site,test_enabled,bin,notes
D00155,gds_references,,,-29954.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00156,gds_references,,,-26430.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00157,gds_references,,,-22906.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00158,gds_references,,,-19382.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00159,gds_references,,,-15858.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00160,gds_references,,,-12334.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00161,gds_references,,,-8810.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00162,gds_references,,,-5286.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00163,gds_references,,,-1762.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00164,gds_references,,,1762.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00165,gds_references,,,5286.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00166,gds_references,,,8810.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00167,gds_references,,,12334.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00168,gds_references,,,15858.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00169,gds_references,,,19382.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00170,gds_references,,,22906.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00171,gds_references,,,26430.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00172,gds_references,,,29954.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00173,gds_references,,,33478.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00174,gds_references,,,37002.0,-54285.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00175,gds_references,,,-40526.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00176,gds_references,,,-37002.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00177,gds_references,,,-33478.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00178,gds_references,,,-29954.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00179,gds_references,,,-26430.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00180,gds_references,,,-22906.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00181,gds_references,,,-19382.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00182,gds_references,,,-15858.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00183,gds_references,,,-12334.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00184,gds_references,,,-8810.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00185,gds_references,,,-5286.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00186,gds_references,,,-1762.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00187,gds_references,,,1762.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00188,gds_references,,,5286.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00189,gds_references,,,8810.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00190,gds_references,,,12334.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00191,gds_references,,,15858.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00192,gds_references,,,19382.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00193,gds_references,,,22906.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00194,gds_references,,,26430.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00195,gds_references,,,29954.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00196,gds_references,,,33478.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00197,gds_references,,,37002.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00198,gds_references,,,40526.0,-52640.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00199,gds_references,,,-40526.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00200,gds_references,,,-37002.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00201,gds_references,,,-33478.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00202,gds_references,,,-29954.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00203,gds_references,,,-26430.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00204,gds_references,,,-22906.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00205,gds_references,,,-19382.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00206,gds_references,,,-15858.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
D00207,gds_references,,,-12334.0,-50995.0,single_die,,1,UNTESTED,Generated from selected top-cell references
