row,col,label
-27,11,86-31
-27,12,86-32
-27,13,86-33
-26,-15,NA
-26,-14,81-21
-26,-13,PCM
-26,-12,81-23
-26,-11,81-24
-26,-10,82-20
-26,-9,82-21
-26,-8,82-22
-26,-7,82-23
-26,-6,82-24
-26,-5,83-20
-26,-4,83-21
-26,-3,PCM
-26,-2,83-23
-26,-1,83-24
-26,0,84-20
-26,1,84-21
-26,2,84-22
-26,3,84-23
-26,4,84-24
-26,5,85-20
-26,6,85-21
-26,7,PCM
-26,8,85-23
-26,9,85-24
-26,10,86-20
-26,11,86-21
-26,12,86-22
-26,13,86-23
-26,14,NA
-25,-15,81-10
-25,-14,81-11
-25,-13,81-12
-25,-12,81-13
-25,-11,81-14
-25,-10,82-10
-25,-9,82-11
-25,-8,82-12
-25,-7,82-13
-25,-6,82-14
-25,-5,83-10
-25,-4,83-11
-25,-3,83-12
-25,-2,83-13
-25,-1,83-14
-25,0,84-10
-25,1,84-11
-25,2,84-12
-25,3,84-13
-25,4,84-14
-25,5,85-10
-25,6,85-11
-25,7,85-12
-25,8,85-13
-25,9,85-14
-25,10,86-10
-25,11,86-11
-25,12,86-12
-25,13,86-13
-25,14,86-14
-24,-16,NA
-24,-15,81-00
-24,-14,81-01
-24,-13,81-02
-24,-12,81-03
-24,-11,81-04
-24,-10,82-00
-24,-9,82-01
-24,-8,82-02
-24,-7,82-03
-24,-6,82-04
-24,-5,83-00
-24,-4,83-01
-24,-3,83-02
-24,-2,83-03
-24,-1,83-04
-24,0,84-00
-24,1,84-01
-24,2,84-02
-24,3,84-03
-24,4,84-04
-24,5,85-00
-24,6,85-01
-24,7,85-02
-24,8,85-03
-24,9,85-04
-24,10,86-00
-24,11,86-01
-24,12,86-02
-24,13,86-03
-24,14,86-04
-24,15,NA
-23,-16,70-74
-23,-15,71-70
-23,-14,71-71
-23,-13,71-72
-23,-12,71-73
-23,-11,71-74
-23,-10,72-70
-23,-9,72-71
-23,-8,72-72
-23,-7,72-73
-23,-6,72-74
-23,-5,73-70
-23,-4,73-71
-23,-3,73-72
-23,-2,73-73
-23,-1,73-74
-23,0,74-70
-23,1,74-71
-23,2,74-72
-23,3,74-73
-23,4,74-74
-23,5,75-70
-23,6,75-71
-23,7,75-72
-23,8,75-73
-23,9,75-74
-23,10,76-70
-23,11,76-71
-23,12,76-72
-23,13,76-73
-23,14,76-74
-23,15,77-70
-22,-16,70-64
-22,-15,71-60
-22,-14,71-61
-22,-13,71-62
-22,-12,71-63
-22,-11,71-64
-22,-10,72-60
-22,-9,72-61
-22,-8,72-62
-22,-7,72-63
-22,-6,72-64
-22,-5,73-60
-22,-4,73-61
-22,-3,73-62
-22,-2,73-63
-22,-1,73-64
-22,0,74-60
-22,1,74-61
-22,2,74-62
-22,3,74-63
-22,4,74-64
-22,5,75-60
-22,6,75-61
-22,7,75-62
-22,8,75-63
-22,9,75-64
-22,10,76-60
-22,11,76-61
-22,12,76-62
-22,13,76-63
-22,14,76-64
-22,15,77-60
-21,-16,70-54
-21,-15,71-50
-21,-14,71-51
-21,-13,71-52
-21,-12,71-53
-21,-11,71-54
-21,-10,72-50
-21,-9,72-51
-21,-8,72-52
-21,-7,72-53
-21,-6,72-54
-21,-5,73-50
-21,-4,73-51
-21,-3,73-52
-21,-2,73-53
-21,-1,73-54
-21,0,74-50
-21,1,74-51
-21,2,74-52
-21,3,74-53
-21,4,74-54
-21,5,75-50
