row,col,x_die,y_die,raw_q
-36,-16,-16,-36,QY-036X-016
-36,-15,-15,-36,QY-036X-015
-36,-14,-14,-36,QY-036X-014
-36,-13,-13,-36,QY-036X-013
-36,-12,-12,-36,QY-036X-012
-36,-11,-11,-36,QY-036X-011
-36,-10,-10,-36,QY-036X-010
-36,-9,-9,-36,QY-036X-009
-36,-8,-8,-36,QY-036X-008
-36,-7,-7,-36,QY-036X-007
-36,-6,-6,-36,QY-036X-006
-36,-5,-5,-36,QY-036X-005
-36,-4,-4,-36,QY-036X-004
-36,-3,-3,-36,QY-036X-003
-36,-2,-2,-36,QY-036X-002
-36,-1,-1,-36,QY-036X-001
-36,0,0,-36,QY-036X0000
-36,1,1,-36,QY-036X0001
-36,2,2,-36,QY-036X0002
-36,3,3,-36,QY-036X0003
-36,4,4,-36,QY-036X0004
-36,5,5,-36,QY-036X0005
-36,6,6,-36,QY-036X0006
-36,7,7,-36,QY-036X0007
-36,8,8,-36,QY-036X0008
-36,9,9,-36,QY-036X0009
-36,10,10,-36,QY-036X0010
-36,11,11,-36,QY-036X0011
-36,12,12,-36,QY-036X0012
-36,13,13,-36,QY-036X0013
-36,14,14,-36,QY-036X0014
-36,15,15,-36,QY-036X0015
-36,16,16,-36,QY-036X0016
-36,17,17,-36,QY-036X0017
-36,18,18,-36,QY-036X0018
-36,19,19,-36,QY-036X0019
-36,20,20,-36,QY-036X0020
-36,21,21,-36,QY-036X0021
-36,22,22,-36,QY-036X0022
-36,23,23,-36,QY-036X0023
-36,24,24,-36,QY-036X0024
-36,25,25,-36,QY-036X0025
-36,26,26,-36,QY-036X0026
-36,27,27,-36,QY-036X0027
-36,28,28,-36,QY-036X0028
-36,29,29,-36,QY-036X0029
-36,30,30,-36,QY-036X0030
-36,31,31,-36,QY-036X0031
-35,36,36,-35,QY-035X0036
-35,35,35,-35,QY-035X0035
-35,34,34,-35,QY-035X0034
-35,33,33,-35,QY-035X0033
-35,32,32,-35,QY-035X0032
-35,31,31,-35,QY-035X0031
-35,30,30,-35,QY-035X0030
-35,29,29,-35,QY-035X0029
-35,28,28,-35,QY-035X0028
-35,27,27,-35,QY-035X0027
-35,26,26,-35,QY-035X0026
-35,25,25,-35,QY-035X0025
-35,24,24,-35,QY-035X0024
-35,23,23,-35,QY-035X0023
-35,22,22,-35,QY-035X0022
-35,21,21,-35,QY-035X0021
-35,20,20,-35,QY-035X0020
-35,19,19,-35,QY-035X0019
-35,18,18,-35,QY-035X0018
-35,17,17,-35,QY-035X0017
-35,16,16,-35,QY-035X0016
-35,15,15,-35,QY-035X0015
-35,14,14,-35,QY-035X0014
-35,13,13,-35,QY-035X0013
-35,12,12,-35,QY-035X0012
-35,11,11,-35,QY-035X0011
-35,10,10,-35,QY-035X0010
-35,9,9,-35,QY-035X0009
-35,8,8,-35,QY-035X0008
-35,7,7,-35,QY-035X0007
-35,6,6,-35,QY-035X0006
-35,5,5,-35,QY-035X0005
-35,4,4,-35,QY-035X0004
-35,3,3,-35,QY-035X0003
-35,2,2,-35,QY-035X0002
-35,1,1,-35,QY-035X0001
