step,command,major_index,device_ids,MovesMajorX,MovesMajorY,MovesMinorX,MovesMinorY
429,J,429,94-10,52915,28530,0,0
430,J,430,94-11,55700,28530,0,0
431,J,431,94-12,58485,28530,0,0
432,J,432,94-13,61270,28530,0,0
433,J,433,94-14,64055,28530,0,0
434,J,434,94-15,66840,28530,0,0
435,J,435,95-10,69625,28530,0,0
436,J,436,95-11,72410,28530,0,0
437,J,437,95-12,75195,28530,0,0
438,J,438,95-13,77980,28530,0,0
439,J,439,95-14,80765,28530,0,0
440,J,440,95-15,83550,28530,0,0
441,J,441,96-10,86335,28530,0,0
442,J,442,96-11,89120,28530,0,0
443,J,443,96-12,91905,28530,0,0
444,J,444,96-13,94690,28530,0,0
445,J,445,96-14,97475,28530,0,0
446,J,446,96-15,100260,28530,0,0
447,J,447,97-10,103045,28530,0,0
448,J,448,97-11,105830,28530,0,0
449,J,449,97-12,108615,28530,0,0
450,J,450,97-13,111400,28530,0,0
451,J,451,97-14,114185,28530,0,0
452,J,452,97-15,116970,28530,0,0
453,J,453,98-10,119755,28530,0,0
454,J,454,98-00,119755,30115,0,0
455,J,455,97-05,116970,30115,0,0
456,J,456,97-04,114185,30115,0,0
457,J,457,97-03,111400,30115,0,0
458,J,458,97-01,105830,30115,0,0
459,J,459,97-00,103045,30115,0,0
460,J,460,96-05,100260,30115,0,0
461,J,461,96-04,97475,30115,0,0
462,J,462,96-03,94690,30115,0,0
463,J,463,96-02,91905,30115,0,0
464,J,464,96-01,89120,30115,0,0
465,J,465,96-00,86335,30115,0,0
466,J,466,95-05,83550,30115,0,0
467,J,467,95-04,80765,30115,0,0
468,J,468,95-03,77980,30115,0,0
469,J,469,95-01,72410,30115,0,0
470,J,470,95-00,69625,30115,0,0
471,J,471,94-05,66840,30115,0,0
472,J,472,94-04,64055,30115,0,0
473,J,473,94-03,61270,30115,0,0
474,J,474,94-02,58485,30115,0,0
475,J,475,94-01,55700,30115,0,0
476,J,476,94-00,52915,30115,0,0
477,J,477,93-05,50130,30115,0,0
478,J,478,93-04,47345,30115,0,0
479,J,479,93-03,44560,30115,0,0
480,J,480,93-01,38990,30115,0,0
481,J,481,93-00,36205,30115,0,0
482,J,482,92-05,33420,30115,0,0
483,J,483,92-04,30635,30115,0,0
484,J,484,92-03,27850,30115,0,0
485,J,485,92-02,25065,30115,0,0
486,J,486,92-01,22280,30115,0,0
487,J,487,92-00,19495,30115,0,0
488,J,488,91-05,16710,30115,0,0
489,J,489,81-74,13925,31700,0,0
490,J,490,81-75,16710,31700,0,0
491,J,491,82-70,19495,31700,0,0
492,J,492,82-71,22280,31700,0,0
493,J,493,82-72,25065,31700,0,0
494,J,494,82-73,27850,31700,0,0
495,J,495,82-74,30635,31700,0,0
496,J,496,82-75,33420,31700,0,0
497,J,497,83-70,36205,31700,0,0
498,J,498,83-71,38990,31700,0,0
499,J,499,83-72,41775,31700,0,0
500,J,500,83-73,44560,31700,0,0
501,J,501,83-74,47345,31700,0,0
502,J,502,83-75,50130,31700,0,0
503,J,503,84-70,52915,31700,0,0
504,J,504,84-71,55700,31700,0,0
505,J,505,84-72,58485,31700,0,0
506,J,506,84-73,61270,31700,0,0
507,J,507,84-74,64055,31700,0,0
508,J,508,84-75,66840,31700,0,0
509,J,509,85-70,69625,31700,0,0
510,J,510,85-71,72410,31700,0,0
511,J,511,85-72,75195,31700,0,0
512,J,512,85-73,77980,31700,0,0
513,J,513,85-74,80765,31700,0,0
514,J,514,85-75,83550,31700,0,0
515,J,515,86-70,86335,31700,0,0
516,J,516,86-71,89120,31700,0,0
517,J,517,86-72,91905,31700,0,0
518,J,518,86-73,94690,31700,0,0
519,J,519,86-74,97475,31700,0,0
520,J,520,86-75,100260,31700,0,0
521,J,521,87-70,103045,31700,0,0
522,J,522,87-71,105830,31700,0,0
523,J,523,87-72,108615,31700,0,0
524,J,524,87-73,111400,31700,0,0
525,J,525,87-74,114185,31700,0,0
526,J,526,87-75,116970,31700,0,0
527,J,527,88-70,119755,31700,0,0
528,J,528,88-71,122540,31700,0,0
529,J,529,88-61,122540,33285,0,0
530,J,530,88-60,119755,33285,0,0
531,J,531,87-65,116970,33285,0,0
532,J,532,87-64,114185,33285,0,0
533,J,533,87-63,111400,33285,0,0
534,J,534,87-62,108615,33285,0,0
535,J,535,87-61,105830,33285,0,0
536,J,536,87-60,103045,33285,0,0
537,J,537,86-65,100260,33285,0,0
538,J,538,86-64,97475,33285,0,0
539,J,539,86-63,94690,33285,0,0
540,J,540,86-62,91905,33285,0,0
541,J,541,86-61,89120,33285,0,0
542,J,542,86-60,86335,33285,0,0
543,J,543,85-65,83550,33285,0,0
544,J,544,85-64,80765,33285,0,0
545,J,545,85-63,77980,33285,0,0
546,J,546,85-62,75195,33285,0,0
547,J,547,85-61,72410,33285,0,0
548,J,548,85-60,69625,33285,0,0
549,J,549,84-65,66840,33285,0,0
550,J,550,84-64,64055,33285,0,0
551,J,551,84-63,61270,33285,0,0
552,J,552,84-62,58485,33285,0,0
553,J,553,84-61,55700,33285,0,0
554,J,554,84-60,52915,33285,0,0
555,J,555,83-65,50130,33285,0,0
556,J,556,83-64,47345,33285,0,0
557,J,557,83-63,44560,33285,0,0
558,J,558,83-62,41775,33285,0,0
559,J,559,83-61,38990,33285,0,0
560,J,560,83-60,36205,33285,0,0
561,J,561,82-65,33420,33285,0,0
562,J,562,82-64,30635,33285,0,0
563,J,563,82-63,27850,33285,0,0
564,J,564,82-62,25065,33285,0,0
565,J,565,82-61,22280,33285,0,0
566,J,566,82-60,19495,33285,0,0
567,J,567,81-65,16710,33285,0,0
568,J,568,81-64,13925,33285,0,0
569,J,569,81-53,11140,34870,0,0
570,J,570,81-54,13925,34870,0,0
571,J,571,81-55,16710,34870,0,0
572,J,572,82-50,19495,34870,0,0
573,J,573,82-51,22280,34870,0,0
574,J,574,82-52,25065,34870,0,0
575,J,575,82-53,27850,34870,0,0
576,J,576,82-54,30635,34870,0,0
577,J,577,82-55,33420,34870,0,0
578,J,578,83-50,36205,34870,0,0
579,J,579,83-51,38990,34870,0,0
580,J,580,83-52,41775,34870,0,0
581,J,581,83-53,44560,34870,0,0
582,J,582,83-54,47345,34870,0,0
583,J,583,83-55,50130,34870,0,0
584,J,584,84-50,52915,34870,0,0
585,J,585,84-51,55700,34870,0,0
586,J,586,84-52,58485,34870,0,0
587,J,587,84-53,61270,34870,0,0
588,J,588,84-54,64055,34870,0,0
589,J,589,84-55,66840,34870,0,0
590,J,590,85-50,69625,34870,0,0
591,J,591,85-51,72410,34870,0,0
592,J,592,85-52,75195,34870,0,0
593,J,593,85-53,77980,34870,0,0
594,J,594,85-54,80765,34870,0,0
595,J,595,85-55,83550,34870,0,0
596,J,596,86-50,86335,34870,0,0
597,J,597,86-51,89120,34870,0,0
598,J,598,86-52,91905,34870,0,0
599,J,599,86-53,94690,34870,0,0
600,J,600,86-54,97475,34870,0,0
601,J,601,86-55,100260,34870,0,0
602,J,602,87-50,103045,34870,0,0
603,J,603,87-51,105830,34870,0,0
604,J,604,87-52,108615,34870,0,0
605,J,605,87-53,111400,34870,0,0
606,J,606,87-54,114185,34870,0,0
607,J,607,87-55,116970,34870,0,0
608,J,608,88-50,119755,34870,0,0
609,J,609,88-51,122540,34870,0,0
610,J,610,88-52,125325,34870,0,0
611,J,611,88-42,125325,36455,0,0
612,J,612,88-41,122540,36455,0,0
613,J,613,88-40,119755,36455,0,0
614,J,614,87-45,116970,36455,0,0
615,J,615,87-44,114185,36455,0,0
616,J,616,87-43,111400,36455,0,0
617,J,617,87-42,108615,36455,0,0
618,J,618,87-41,105830,36455,0,0
619,J,619,87-40,103045,36455,0,0
620,J,620,86-45,100260,36455,0,0
621,J,621,86-44,97475,36455,0,0
622,J,622,86-43,94690,36455,0,0
623,J,623,86-42,91905,36455,0,0
624,J,624,86-41,89120,36455,0,0
625,J,625,86-40,86335,36455,0,0
626,J,626,85-45,83550,36455,0,0
627,J,627,85-44,80765,36455,0,0
628,J,628,85-43,77980,36455,0,0
629,J,629,85-42,75195,36455,0,0
630,J,630,85-41,72410,36455,0,0
631,J,631,85-40,69625,36455,0,0
632,J,632,84-45,66840,36455,0,0
633,J,633,84-44,64055,36455,0,0
634,J,634,84-43,61270,36455,0,0
635,J,635,84-42,58485,36455,0,0
636,J,636,84-41,55700,36455,0,0
637,J,637,84-40,52915,36455,0,0
638,J,638,83-45,50130,36455,0,0
639,J,639,83-44,47345,36455,0,0
640,J,640,83-43,44560,36455,0,0
641,J,641,83-42,41775,36455,0,0
642,J,642,83-41,38990,36455,0,0
643,J,643,83-40,36205,36455,0,0
644,J,644,82-45,33420,36455,0,0
645,J,645,82-44,30635,36455,0,0
646,J,646,82-43,27850,36455,0,0
647,J,647,82-42,25065,36455,0,0
648,J,648,82-41,22280,36455,0,0
649,J,649,82-40,19495,36455,0,0
650,J,650,81-45,16710,36455,0,0
651,J,651,81-44,13925,36455,0,0
652,J,652,81-43,11140,36455,0,0
653,J,653,81-33,11140,38040,0,0
654,J,654,81-34,13925,38040,0,0
655,J,655,81-35,16710,38040,0,0
656,J,656,82-30,19495,38040,0,0
657,J,657,82-31,22280,38040,0,0
658,J,658,82-32,25065,38040,0,0
659,J,659,82-33,27850,38040,0,0
660,J,660,82-34,30635,38040,0,0
661,J,661,82-35,33420,38040,0,0
662,J,662,83-30,36205,38040,0,0
663,J,663,83-31,38990,38040,0,0
664,J,664,83-32,41775,38040,0,0
665,J,665,83-33,44560,38040,0,0
666,J,666,83-34,47345,38040,0,0
667,J,667,83-35,50130,38040,0,0
668,J,668,84-30,52915,38040,0,0
669,J,669,84-31,55700,38040,0,0
670,J,670,84-32,58485,38040,0,0
671,J,671,84-33,61270,38040,0,0
672,J,672,84-34,64055,38040,0,0
673,J,673,84-35,66840,38040,0,0
674,J,674,85-30,69625,38040,0,0
675,J,675,85-31,72410,38040,0,0
676,J,676,85-32,75195,38040,0,0
677,J,677,85-33,77980,38040,0,0
678,J,678,85-34,80765,38040,0,0
