kind,recipe,pin,pad,net,seq,bench,minor_moves,shortcut,fast_current_settle,manual_mode,align_die,wafer_map,shot_origin_x,shot_origin_y,name,type,mode,instrument,chan,target,hi,lo,level,limit,shape,freq,conn,min,max,avg_count,avg_delay,nplc,his,los,settle_delay,abs_value,mrange,die,route,instrument_key,terminals
SITE,FULL,,,,98,,,,,,,,,,98,,,,,,2,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,99,,,,,,,,,,99,,,,,,2,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,100,,,,,,,,,,100,,,,,,2,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,101,,,,,,,,,,101,,,,,,2,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,102,,,,,,,,,,102,,,,,,2,7,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,103,,,,,,,,,,103,,,,,,3,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,104,,,,,,,,,,104,,,,,,3,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,105,,,,,,,,,,105,,,,,,3,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,106,,,,,,,,,,106,,,,,,3,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,107,,,,,,,,,,107,,,,,,3,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,108,,,,,,,,,,108,,,,,,3,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,109,,,,,,,,,,109,,,,,,3,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,110,,,,,,,,,,110,,,,,,3,2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,111,,,,,,,,,,111,,,,,,3,3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,112,,,,,,,,,,112,,,,,,3,4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,113,,,,,,,,,,113,,,,,,3,5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,114,,,,,,,,,,114,,,,,,3,6,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,115,,,,,,,,,,115,,,,,,4,-5,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,116,,,,,,,,,,116,,,,,,4,-4,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,117,,,,,,,,,,117,,,,,,4,-3,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,118,,,,,,,,,,118,,,,,,4,-2,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,119,,,,,,,,,,119,,,,,,4,-1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,120,,,,,,,,,,120,,,,,,4,0,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,121,,,,,,,,,,121,,,,,,4,1,,,,,,,,,,,,,,,,,,,
SITE,FULL,,,,122,,,,,,,,,,122,,,,,,4,2,,,,,,,,,,,,,,,,,,,
